symptom,domain,cluster_0,n_0,cluster_1,n_1,cluster_2,n_2,cluster_3,n_3,overall_pct,overall_n,variance
GETUPUR0,urogenital,69.01140684410646,726,54.8372715113687,1230,0.0,0,50.0,1,59.267110841914,1957,904.6199599759963
LEAKBOT0,urogenital,47.71863117870723,502,34.10610789121712,765,60.0,3,0.0,0,38.46153846153847,1270,670.5767346646003
WAKEUP0,sleep,54.562737642585546,574,41.283994650022294,926,20.0,1,0.0,0,45.45729860690491,1501,575.4480691993014
STIFF0,somatic,35.361216730038024,372,25.724476148016052,577,0.0,0,0.0,0,28.74015748031496,949,326.43295104019376
HARTRT20,somatic,14.068441064638785,148,25.100312082032993,563,20.0,1,50.0,1,21.592973955178678,713,249.49751156830882
KEEPMIN0,cognitive,29.562737642585553,311,22.55907267053054,506,0.0,0,0.0,0,24.742580254391278,817,234.5654796998363
SWEATPA0,vasomotor,50.38022813688213,530,50.913954525189475,1142,20.0,1,50.0,1,50.696547546941254,1674,231.65796635018788
WAKEARL0,sleep,34.125475285171106,359,26.88363798484173,603,20.0,1,0.0,0,29.1641429436705,963,215.55298218013556
RESTLES0,sleep,27.9467680608365,294,22.068658047258136,495,0.0,0,0.0,0,23.894609327680193,789,214.22060028647795
HARTRT10,somatic,37.3574144486692,393,44.98439589835042,1009,20.0,1,50.0,1,42.51968503937008,1404,172.38849789244696
FORGET0,cognitive,22.52851711026616,237,16.1836825679893,363,0.0,0,0.0,0,18.170805572380374,600,131.59568788890513
PAINTRF0,somatic,26.806083650190114,282,16.80784663397236,377,20.0,1,0.0,0,19.987886129618413,660,129.79559919418494
DEPRESS0,mood,21.863117870722434,230,14.578689255461436,327,0.0,0,0.0,0,16.86856450635978,557,119.51092559363768
DAYSLEA0,urogenital,22.90874524714829,241,11.324119482835489,254,20.0,1,0.0,0,15.021199273167776,496,105.91512888503134
IRRITAB0,mood,19.581749049429657,206,11.012037449843959,247,0.0,0,0.0,0,13.718958207147184,453,90.23830718027364
TIRED0,sleep,80.13307984790875,843,88.76504681230494,1991,80.0,4,100.0,2,86.00847970926712,2840,89.35610825012606
WORNOUT0,sleep,82.31939163498099,866,90.05795809184129,2020,80.0,4,100.0,2,87.58328285887342,2892,81.4896349001386
MOODCHG0,mood,16.730038022813687,176,9.005795809184129,202,20.0,1,0.0,0,11.477892186553603,379,79.35230210816037
FEELBLU0,mood,16.920152091254753,178,10.254123941150246,230,0.0,0,0.0,0,12.356147789218655,408,68.94276170677601
LEAKURI0,urogenital,16.53992395437262,174,6.4199732501114575,144,0.0,0,0.0,0,9.6305269533616,318,60.99864034615232
BLUES0,mood,15.304182509505704,161,10.789121711992866,242,0.0,0,0.0,0,12.204724409448819,403,60.136006100512475
HDACHE0,somatic,15.304182509505704,161,10.075791350869371,226,0.0,0,0.0,0,11.720169594185343,387,58.234601780727935
HOTFLAS0,vasomotor,12.832699619771862,135,5.305394560855996,119,0.0,0,0.0,0,7.6923076923076925,254,36.859258617107244
SWEAT0,vasomotor,10.931558935361217,115,7.267053053945609,163,0.0,0,0.0,0,8.419139915202907,278,29.83722375393344
FEARFUL0,mood,7.79467680608365,82,7.5791350869371374,170,0.0,0,0.0,0,7.631738340399758,252,19.703917382281055
HARTRAC0,somatic,8.745247148288973,92,4.32456531431119,97,0.0,0,0.0,0,5.723803755299818,189,17.49207113017174
FEARFULA0,mood,7.1292775665399235,75,3.2545697726259473,73,0.0,0,0.0,0,4.482132041187159,148,11.487583878294798
VAGINDR0,urogenital,6.083650190114068,64,4.948729380294249,111,0.0,0,0.0,0,5.299818291944276,175,10.357457456223912
COLDSWE0,vasomotor,4.847908745247148,51,1.3820775746767722,31,0.0,0,0.0,0,2.483343428225318,82,5.236391746019469
DIZZY0,somatic,4.562737642585551,48,1.6049933125278644,36,0.0,0,0.0,0,2.543912780133253,84,4.628117348220086
AMTLEAK0,urogenital,2.7566539923954374,29,1.2037449843958983,27,0.0,0,0.0,0,1.6959418534221684,56,1.7089844024685068
OTHOTC0,vasomotor,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NOTIRED0,sleep,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
INVOLEA0,urogenital,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLEEP0,sleep,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANXIOUS0,mood,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MOODCHN0,mood,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
PAINYS0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CRAVING0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
PAIN0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HEARTBR0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HEART0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NERVYS0,mood,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HARTYS0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLOATED0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BREASTP0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CRAMPS0,somatic,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NERVOUS0,mood,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
