race,domain,symptom,prevalence
5,vasomotor,COLDSWE0,6.315789473684211
5,vasomotor,HOTFLAS0,6.666666666666667
5,vasomotor,OTHOTC0,0.0
5,vasomotor,SWEAT0,7.719298245614035
5,vasomotor,SWEATPA0,27.719298245614034
5,sleep,NOTIRED0,0.0
5,sleep,RESTLES0,27.017543859649123
5,sleep,SLEEP0,0.0
5,sleep,TIRED0,77.89473684210526
5,sleep,WAKEARL0,35.78947368421053
5,sleep,WAKEUP0,43.15789473684211
5,sleep,WORNOUT0,79.2982456140351
5,mood,ANXIOUS0,0.0
5,mood,BLUES0,16.842105263157894
5,mood,DEPRESS0,28.771929824561404
5,mood,FEARFUL0,14.736842105263156
5,mood,FEARFULA0,10.526315789473683
5,mood,FEELBLU0,17.543859649122805
5,mood,IRRITAB0,17.543859649122805
5,mood,MOODCHG0,15.087719298245613
5,mood,MOODCHN0,0.0
5,mood,NERVOUS0,0.0
5,mood,NERVYS0,0.0
5,cognitive,FORGET0,34.03508771929825
5,cognitive,KEEPMIN0,27.017543859649123
5,somatic,BLOATED0,0.0
5,somatic,BREASTP0,0.0
5,somatic,CRAMPS0,0.0
5,somatic,CRAVING0,0.0
5,somatic,DIZZY0,9.473684210526317
5,somatic,HARTRAC0,7.368421052631578
5,somatic,HARTRT10,12.280701754385964
5,somatic,HARTRT20,2.456140350877193
5,somatic,HARTYS0,0.0
5,somatic,HDACHE0,12.631578947368421
5,somatic,HEART0,0.0
5,somatic,HEARTBR0,0.0
5,somatic,PAIN0,0.0
5,somatic,PAINTRF0,51.92982456140351
5,somatic,PAINYS0,0.0
5,somatic,STIFF0,28.421052631578945
5,urogenital,AMTLEAK0,4.2105263157894735
5,urogenital,DAYSLEA0,13.684210526315791
5,urogenital,GETUPUR0,64.91228070175438
5,urogenital,INVOLEA0,0.0
5,urogenital,LEAKBOT0,36.140350877192986
5,urogenital,LEAKURI0,11.578947368421053
5,urogenital,VAGINDR0,5.964912280701754
2,vasomotor,COLDSWE0,0.8
2,vasomotor,HOTFLAS0,5.6000000000000005
2,vasomotor,OTHOTC0,0.0
2,vasomotor,SWEAT0,4.8
2,vasomotor,SWEATPA0,36.0
2,sleep,NOTIRED0,0.0
2,sleep,RESTLES0,20.8
2,sleep,SLEEP0,0.0
2,sleep,TIRED0,92.80000000000001
2,sleep,WAKEARL0,28.799999999999997
2,sleep,WAKEUP0,38.800000000000004
