visit,domain,symptom,prevalence
0,vasomotor,COLDSWE0,2.483343428225318
0,vasomotor,HOTFLAS0,7.6923076923076925
0,vasomotor,OTHOTC0,0.0
0,vasomotor,SWEAT0,8.419139915202907
0,vasomotor,SWEATPA0,50.696547546941254
0,sleep,NOTIRED0,0.0
0,sleep,RESTLES0,23.894609327680193
0,sleep,SLEEP0,0.0
0,sleep,TIRED0,86.00847970926712
0,sleep,WAKEARL0,29.1641429436705
0,sleep,WAKEUP0,45.45729860690491
0,sleep,WORNOUT0,87.58328285887342
0,mood,ANXIOUS0,0.0
0,mood,BLUES0,12.204724409448819
0,mood,DEPRESS0,16.86856450635978
0,mood,FEARFUL0,7.631738340399758
0,mood,FEARFULA0,4.482132041187159
0,mood,FEELBLU0,12.356147789218655
0,mood,IRRITAB0,13.718958207147184
0,mood,MOODCHG0,11.477892186553603
0,mood,MOODCHN0,0.0
0,mood,NERVOUS0,0.0
0,mood,NERVYS0,0.0
0,cognitive,FORGET0,18.170805572380374
0,cognitive,KEEPMIN0,24.742580254391278
0,somatic,BLOATED0,0.0
0,somatic,BREASTP0,0.0
0,somatic,CRAMPS0,0.0
0,somatic,CRAVING0,0.0
0,somatic,DIZZY0,2.543912780133253
0,somatic,HARTRAC0,5.723803755299818
0,somatic,HARTRT10,42.51968503937008
0,somatic,HARTRT20,21.592973955178678
0,somatic,HARTYS0,0.0
0,somatic,HDACHE0,11.720169594185343
0,somatic,HEART0,0.0
0,somatic,HEARTBR0,0.0
0,somatic,PAIN0,0.0
0,somatic,PAINTRF0,19.987886129618413
0,somatic,PAINYS0,0.0
0,somatic,STIFF0,28.74015748031496
0,urogenital,AMTLEAK0,1.6959418534221684
0,urogenital,DAYSLEA0,15.021199273167776
0,urogenital,GETUPUR0,59.267110841914
0,urogenital,INVOLEA0,0.0
0,urogenital,LEAKBOT0,38.46153846153847
0,urogenital,LEAKURI0,9.6305269533616
0,urogenital,VAGINDR0,5.299818291944276
5,vasomotor,COLDSWE0,3.4772640427970956
5,vasomotor,HOTFLAS0,17.65380206343141
5,vasomotor,OTHOTC0,0.0
5,vasomotor,SWEAT0,0.0
5,vasomotor,SWEATPA0,50.78333970194879
5,sleep,NOTIRED0,0.0
5,sleep,RESTLES0,22.621322124570117
5,sleep,SLEEP0,0.0
5,sleep,TIRED0,81.42911730989682
5,sleep,WAKEARL0,29.19373328238441
5,sleep,WAKEUP0,48.949178448605274
5,sleep,WORNOUT0,82.95758502101643
5,mood,ANXIOUS0,0.0
5,mood,BLUES0,8.291937332823844
5,mood,DEPRESS0,10.928544134505158
5,mood,FEARFUL0,5.73175391669851
5,mood,FEARFULA0,4.012227741688957
5,mood,FEELBLU0,13.641574321742453
5,mood,IRRITAB0,11.57814291173099
5,mood,MOODCHG0,9.094382881161636
5,mood,MOODCHN0,0.0
5,mood,NERVOUS0,0.0
5,mood,NERVYS0,0.0
5,cognitive,FORGET0,21.895299961788307
5,cognitive,KEEPMIN0,21.818876576232327
5,somatic,BLOATED0,0.0
5,somatic,BREASTP0,0.0
5,somatic,CRAMPS0,0.0
5,somatic,CRAVING0,0.0
5,somatic,DIZZY0,2.407336645013374
5,somatic,HARTRAC0,5.235001910584639
5,somatic,HARTRT10,0.0
5,somatic,HARTRT20,0.0
5,somatic,HARTYS0,0.0
5,somatic,HDACHE0,11.310661062285059
5,somatic,HEART0,0.0
5,somatic,HEARTBR0,0.0
5,somatic,PAIN0,0.0
5,somatic,PAINTRF0,0.0
5,somatic,PAINYS0,0.0
5,somatic,STIFF0,33.20596102407337
5,urogenital,AMTLEAK0,0.0
5,urogenital,DAYSLEA0,18.456247611769204
5,urogenital,GETUPUR0,59.07527703477265
5,urogenital,INVOLEA0,0.0
5,urogenital,LEAKBOT0,0.0
5,urogenital,LEAKURI0,0.0
5,urogenital,VAGINDR0,10.470003821169279
10,vasomotor,COLDSWE0,3.2962138084632517
10,vasomotor,HOTFLAS0,22.62806236080178
10,vasomotor,OTHOTC0,0.0
10,vasomotor,SWEAT0,0.0
10,vasomotor,SWEATPA0,0.0
10,sleep,NOTIRED0,0.0
10,sleep,RESTLES0,24.810690423162583
10,sleep,SLEEP0,0.0
10,sleep,TIRED0,82.5835189309577
10,sleep,WAKEARL0,31.26948775055679
10,sleep,WAKEUP0,55.76837416481069
10,sleep,WORNOUT0,86.6815144766147
10,mood,ANXIOUS0,0.0
10,mood,BLUES0,5.879732739420936
10,mood,DEPRESS0,8.730512249443208
10,mood,FEARFUL0,3.7416481069042313
10,mood,FEARFULA0,3.11804008908686
10,mood,FEELBLU0,11.492204899777283
10,mood,IRRITAB0,10.066815144766148
10,mood,MOODCHG0,7.4387527839643655
10,mood,MOODCHN0,0.0
10,mood,NERVOUS0,0.0
10,mood,NERVYS0,0.0
10,cognitive,FORGET0,19.73273942093541
10,cognitive,KEEPMIN0,18.66369710467706
10,somatic,BLOATED0,0.0
10,somatic,BREASTP0,0.0
10,somatic,CRAMPS0,0.0
10,somatic,CRAVING0,0.0
10,somatic,DIZZY0,2.5835189309576836
10,somatic,HARTRAC0,4.543429844097996
10,somatic,HARTRT10,0.0
10,somatic,HARTRT20,0.0
10,somatic,HARTYS0,0.0
10,somatic,HDACHE0,8.017817371937639
10,somatic,HEART0,0.0
10,somatic,HEARTBR0,0.0
10,somatic,PAIN0,0.0
10,somatic,PAINTRF0,16.169265033407573
10,somatic,PAINYS0,0.0
10,somatic,STIFF0,40.222717149220486
10,urogenital,AMTLEAK0,0.0
10,urogenital,DAYSLEA0,22.182628062360802
10,urogenital,GETUPUR0,0.0
10,urogenital,INVOLEA0,0.0
10,urogenital,LEAKBOT0,0.0
10,urogenital,LEAKURI0,0.0
10,urogenital,VAGINDR0,17.015590200445434
